Norwegian,English
skyt,shoot
spill,game
sjef,boss
født,born
særlig,especially
kompis,buddy
kontoret,the office
sjekke,check
huske,remember
glemte,forgot
umulig,impossible
dessverre,unfortunately
spesielt,especially
person,person
